ID,Specie,NomeProvvisorio,NomeComune,AnnoScoperta,Descrizione
GYX1AWE2LH,Navigobius kaguya,null,Pesce dardo,2017,Pesce che ricorda un dardo avvelenato usato da alcune tribù indigene.
JANN0QNIG4,Psychrolutes phrictus,null,Blob sculpin,1978,"Questa specie di sculpin abita le profondità più oscure degli oceani. Presentano diverse spine, come tutte le altre specie di sculpin, ma presentano anche una corporatura più tozza."
KHRIIMYK0J,Marrus orthocanna,null,Medusa sifonofora cintura di fuoco,1942,"Questa specie di sifonoforo presenta un colore rosso/arancio intenso, essendo i sifonofori dei raggruppamenti di organismi, può assumere diverse forme, caratterizzate solitamente da filamenti intrecciati."
L4MKXYGJ6R,Grimpoteuthis bathynectes,null,Polpo dumbo,1990,Questa specie di polpo possiede delle pinne nella parte superiore del mantello che ricordano le orecchie del personaggio di animazione dumbo.
LBPHU6GZV0,Enypniastes eximia,null,Danzatore spagnolo,1882,"Questa specie di cetriolo marino nuota a profondità elevate. Presenta una colorazione accesa, solitamente rosso, rosa o arancione."
ORYC2H5PF4,Albatrossia pectoralis,null,Coda di ratto gigante,1892,Questo pesce è solito abitare il suolo marino. Possiede una corporatura tozza con una coda più sottile. Esemplari di questa specie possono crescere anche fino a 2 metri di lunghezza.
OUI9CX2AL4,null,Gambero cremisi,null,2022,Questa specie di gambero è capace di nuotare e possiede un intenso colore rosso che lo rende quasi impossibile da vedere per le altre creature che abitano le profondità.
P418NID9VB,null,Medusa ombrello,null,2023,"La medusa presenta una campana di colore viola esternamente e arancione internamente, con tentacoli sottili e marroni simli a dei capelli."
P4FPZBSA8O,Solmissus marshalli,null,Medusa piatto da cena,1902,Questa specie di medusa presenta numerosi e sottili tentacoli. La campana è quasi completamente trasparente. Sia i tentacoli che la campana sono fluorescenti e di colore bianco/azzurro.
TJC1LW83MD,null,Ctenoforo cangiante,null,2013,Questo ctenoforo è capace di assumere due forme: quella classica degli ctenofori e una dove si arrotola su se stesso. E' di colore nero pece.
U7MYM2MHJ0,Narcetes shonanmaruae,null,null,2021,"Pesce aggressivo, predatore delle zone più profonde."
UDPDW13YB8,Taonius borealis,null,Calamaro cacatua,1972,"Questa specie di calamaro presenta un mantello e pinne trasparenti, che permettono la visibilità dall'esterno degli organi interni. I tentacoli sono corti e bianchi, ma rossi sulla punta. Gli occhi sono di colore rosso mattone."
VGAEFB7Z9G,Grimpoteuthis imperator,null,Polpo dumbo,2021,Polpo di colore rosa con tentacoli più scuri.
VKFBS2ECGG,Periphyllopsis braueri,null,null,1902,"Queste meduse presentano una campana spessa e di colore grigio/viola. I tentacoli sono molto sottili e genericamente di colore bianco. La campana presenta inoltre delle appendici che si muovono come i petali di un fiore, chiudendosi concentricamente per spingersi in avanti."
VL5L84606R,null,Gambero pesante,null,2023,"Questa specie di gambero utilizza una dura corazza per proteggersi; questo comporta un maggiore peso, che non gli permette di nuotare come altre specie di gamberetti. Saranno necessari ulteriori studi."
WOCOAYY52M,Pycnogonid,null,Ragno marino,1810,"Questi artropodi sono stati osservati a profondità elevate, gli esemplari possono essere di colore diverso e tutti posseggono otto zampe sottili, come i ragni comuni, e un torso piccolo."
WOXO3HBSWG,Hexanchus griseus,null,Squalo vacca,1786,Questo squalo presenta 6 paia di branchie e un muso schiacciato. Possono crescere fino a 6 metri di lunghezza.
Y1ELMU1JCH,Heteromysis hornimani,null,Gambero di vetro,2021,Questa specie di gambero presenta un corpo trasparente.
YGH89ZB5QB,Dendronotus yrjargul,null,null,2020,Lumaca di mare di colore giallo.
